City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Abu Samrah,SY,86.05,broken clouds,35.3,37.18,
4,Ambovombe,MG,84.02,clear sky,-25.17,46.08,MONJA Talilisoa
5,Bam,IR,75.07,clear sky,29.11,58.36,Bam Tourist Hotel
6,Vaini,TO,75.2,scattered clouds,-21.2,-175.2,Keleti Beach Resort
7,Broken Hill,AU,75.2,clear sky,-31.95,141.43,Daydream Motel & Cottages
17,Vanimo,PG,83.25,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
21,Saint-Philippe,RE,82.0,broken clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
26,Kahului,US,80.6,clear sky,20.89,-156.47,Maui Seaside Hotel
27,Hambantota,LK,89.6,broken clouds,6.12,81.12,Bungalow 63
30,Adre,TD,84.11,clear sky,13.47,22.2,
35,Hilo,US,75.2,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
37,Carnarvon,AU,75.2,clear sky,-24.87,113.63,Hospitality Carnarvon
43,Acapulco,MX,78.6,overcast clouds,16.86,-99.89,HS Hotsson Smart Acapulco
44,Salinopolis,BR,77.32,clear sky,-0.61,-47.36,Hotel Salinópolis
46,Bubaque,GW,80.98,clear sky,11.28,-15.83,Casa Dora - Mango Lodge
47,Bengkulu,ID,81.27,moderate rain,-3.8,102.27,Grage Hotel Bengkulu
54,Koungheul,SN,76.03,broken clouds,13.98,-14.8,
59,Atuona,PF,78.37,clear sky,-9.8,-139.03,Villa Enata
77,Yaring,TH,87.8,heavy intensity rain,6.87,101.37,My Home Pokku
81,Pochutla,MX,77.0,light rain,15.74,-96.47,Hotel Posada San Jose
90,Iracoubo,GF,77.95,light rain,5.48,-53.2,Le Gite D Iracoubo
93,Puerto Colombia,CO,84.2,scattered clouds,10.99,-74.95,Hotel El Emigrante
94,Gat,IL,81.0,clear sky,31.61,34.76,OlusHome
99,Las Vegas,US,78.8,clear sky,36.17,-115.14,Plaza Hotel & Casino
101,Nago,JP,84.0,overcast clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
108,Butaritari,KI,82.56,overcast clouds,3.07,172.79,Isles Sunset Lodge
110,Waingapu,ID,88.43,overcast clouds,-9.66,120.26,Pondok Wisata Elim
118,Champasak,LA,87.8,scattered clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
124,Catuday,PH,83.19,light rain,16.29,119.81,GResort
128,Palu,ID,80.92,light rain,-0.89,119.87,Hotel Santika Palu
129,Ahuimanu,US,80.6,few clouds,21.44,-157.84,Paradise Bay Resort
132,Kavieng,PG,79.47,moderate rain,-2.57,150.8,Nusa Island Retreat
134,Hervey Bay,AU,77.0,clear sky,-25.3,152.85,Shelly Bay Resort
135,Abnub,EG,77.0,clear sky,27.27,31.15,مسجد الخطبة
136,Fomboni,KM,79.14,clear sky,-12.28,43.74,Auberge les abou
139,Kavaratti,IN,84.2,haze,10.57,72.64,Hotels in Lakshadweep Islands
140,Kapaa,US,80.6,scattered clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
141,Innisfail,AU,76.98,clear sky,-17.53,146.03,Moondarra Motel
145,Mahebourg,MU,80.6,scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
149,Bambanglipuro,ID,82.36,light rain,-7.95,110.28,Puri Brata
160,San Patricio,US,79.0,few clouds,28.02,-97.52,"Motel 6 Sinton, TX"
163,Nokaneng,BW,85.39,clear sky,-19.67,22.27,
165,Wewak,PG,80.13,light rain,-3.55,143.63,In Wewak Boutique Hotel
175,Souillac,MU,80.6,scattered clouds,-20.52,57.52,Bils' Villa
179,Harper,LR,76.62,light rain,4.38,-7.72,Screensaver
181,Ende,ID,86.65,light rain,-8.84,121.66,Dwi Putra Hotel - Ende
183,Grand-Lahou,CI,75.85,light rain,5.14,-5.02,Hotel Beatitude de Grand Lahou
192,Puerto Escondido,MX,78.55,scattered clouds,15.85,-97.07,Aldea del Bazar Hotel and Spa
194,Mayor Pablo Lagerenza,PY,77.63,clear sky,-19.93,-60.77,
