City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2020-10-07 06:50:39,-46.6,168.33,46.0,70,47,5.01
1,Castro,BR,2020-10-07 06:50:40,-24.79,-50.01,61.39,97,80,4.34
2,Torbay,CA,2020-10-07 06:50:40,47.67,-52.73,50.0,93,75,14.99
3,Moron,AR,2020-10-07 06:50:40,-34.65,-58.62,57.99,94,65,3.53
4,Hofn,IS,2020-10-07 06:50:40,64.25,-15.21,47.35,94,100,4.29
5,Isangel,VU,2020-10-07 06:50:41,-19.55,169.27,77.0,69,40,5.82
6,Xining,CN,2020-10-07 06:50:41,36.62,101.77,61.93,31,0,2.04
7,Kruisfontein,ZA,2020-10-07 06:50:41,-34.0,24.73,69.78,48,0,4.72
8,Tiksi,RU,2020-10-07 06:50:41,71.69,128.87,26.78,96,94,28.52
9,Hermanus,ZA,2020-10-07 06:50:42,-34.42,19.23,62.13,77,0,2.91
10,Svetlaya,RU,2020-10-07 06:50:42,46.54,138.33,57.56,54,7,4.09
11,Omsukchan,RU,2020-10-07 06:50:42,62.53,155.8,26.67,85,0,5.26
12,Kapaa,US,2020-10-07 06:50:42,22.08,-159.32,80.6,74,20,6.93
13,Hasaki,JP,2020-10-07 06:50:42,35.73,140.83,64.4,82,90,5.82
14,Arraial Do Cabo,BR,2020-10-07 06:50:43,-22.97,-42.03,73.36,95,16,10.56
15,Tura,IN,2020-10-07 06:50:43,25.52,90.22,83.14,79,41,3.18
16,Punta Arenas,CL,2020-10-07 06:50:43,-53.15,-70.92,35.6,80,4,8.05
17,Albany,US,2020-10-07 06:50:43,42.6,-73.97,57.99,64,94,4.99
18,Busselton,AU,2020-10-07 06:50:44,-33.65,115.33,66.0,60,95,8.01
19,Ushuaia,AR,2020-10-07 06:45:49,-54.8,-68.3,35.6,92,75,6.93
20,Buin,CL,2020-10-07 06:50:45,-33.73,-70.75,53.01,76,0,2.24
21,Northam,GB,2020-10-07 06:50:45,51.03,-4.22,54.0,81,100,11.01
22,Lavrentiya,RU,2020-10-07 06:50:45,65.58,-171.0,36.57,86,100,28.88
23,Mao,ES,2020-10-07 06:50:46,39.89,4.27,68.0,82,66,6.93
24,Kahului,US,2020-10-07 06:48:51,20.89,-156.47,80.6,61,20,13.87
25,Kodiak,US,2020-10-07 06:48:18,57.79,-152.41,42.8,75,90,5.82
26,Dikson,RU,2020-10-07 06:50:47,73.51,80.55,34.63,98,100,8.21
27,Vaini,TO,2020-10-07 06:50:47,-21.2,-175.2,75.2,94,75,8.05
28,Mataura,NZ,2020-10-07 06:50:47,-46.19,168.86,46.0,70,63,5.01
29,Rikitea,PF,2020-10-07 06:50:47,-23.12,-134.97,74.05,85,100,1.77
30,Esperance,AU,2020-10-07 06:50:48,-33.87,121.9,68.0,34,100,9.17
31,Teeli,RU,2020-10-07 06:50:48,51.03,90.23,43.34,59,15,3.13
32,Avera,US,2020-10-07 06:50:48,33.19,-82.53,66.2,95,75,2.24
33,Hihya,EG,2020-10-07 06:50:48,30.67,31.59,78.8,74,0,14.99
34,Qaanaaq,GL,2020-10-07 06:50:49,77.48,-69.36,11.32,78,0,6.67
35,Hithadhoo,MV,2020-10-07 06:50:49,-0.6,73.08,83.19,72,80,10.16
36,Imbituba,BR,2020-10-07 06:50:49,-28.24,-48.67,64.4,88,90,4.7
37,San Patricio,MX,2020-10-07 06:50:50,19.22,-104.7,77.09,82,100,5.46
38,Bredasdorp,ZA,2020-10-07 06:50:50,-34.53,20.04,57.2,93,33,2.24
39,Yar-Sale,RU,2020-10-07 06:50:50,66.83,70.83,35.78,79,16,19.71
40,Mar Del Plata,AR,2020-10-07 06:48:21,-38.0,-57.56,53.01,100,0,9.17
41,Atuona,PF,2020-10-07 06:50:51,-9.8,-139.03,77.79,79,2,17.31
42,Pasighat,IN,2020-10-07 06:50:51,28.07,95.33,81.28,78,84,2.89
43,La Orilla,MX,2020-10-07 06:50:51,17.98,-102.23,75.72,91,4,4.36
44,Airai,TL,2020-10-07 06:50:51,-8.93,125.41,68.81,88,98,2.28
45,Puerto Ayora,EC,2020-10-07 06:50:51,-0.74,-90.35,66.99,90,100,3.0
46,Georgetown,MY,2020-10-07 06:50:52,5.41,100.34,78.8,88,40,5.82
47,Avarua,CK,2020-10-07 06:50:52,-21.21,-159.78,71.6,68,84,16.11
48,Sao Filipe,CV,2020-10-07 06:50:53,14.9,-24.5,77.74,72,35,2.75
49,Padang,ID,2020-10-07 06:49:52,-0.95,100.35,81.9,74,100,8.3
50,Erzin,TR,2020-10-07 06:50:53,36.96,36.2,80.01,51,0,4.38
51,Priyutnoye,RU,2020-10-07 06:50:53,46.1,43.51,66.06,43,0,19.86
52,Saint George,US,2020-10-07 06:50:03,37.1,-113.58,69.8,9,1,2.21
53,Kaitangata,NZ,2020-10-07 06:50:54,-46.28,169.85,43.0,72,50,5.99
54,Le Mars,US,2020-10-07 06:47:22,42.79,-96.17,62.01,81,1,6.4
55,New Norfolk,AU,2020-10-07 06:50:54,-42.78,147.06,59.0,65,24,1.99
56,Keflavik,IS,2020-10-07 06:50:54,64.0,-22.56,39.2,86,75,2.24
57,High Level,CA,2020-10-07 06:50:55,58.52,-117.14,44.6,93,90,4.7
58,Nadadores,MX,2020-10-07 06:50:55,27.05,-101.6,75.0,42,0,1.01
59,Rocha,UY,2020-10-07 06:50:55,-34.48,-54.33,46.29,90,80,2.71
60,Ahipara,NZ,2020-10-07 06:50:56,-35.17,173.17,58.15,89,95,11.18
61,Coihaique,CL,2020-10-07 06:50:56,-45.58,-72.07,36.09,85,89,6.15
62,Gibsons,CA,2020-10-07 06:50:56,49.4,-123.5,57.99,95,0,5.01
63,Iqaluit,CA,2020-10-07 06:50:57,63.75,-68.51,32.0,96,90,9.17
64,Jamestown,US,2020-10-07 06:49:22,42.1,-79.24,60.01,66,1,9.17
65,Ranong,TH,2020-10-07 06:50:57,9.97,98.63,86.0,79,75,5.82
66,Sao Joao Da Barra,BR,2020-10-07 06:50:58,-21.64,-41.05,73.85,91,20,12.19
67,Aklavik,CA,2020-10-07 06:50:58,68.22,-135.01,32.0,97,90,4.7
68,Midland,US,2020-10-07 06:50:58,32.0,-102.08,71.6,40,1,5.82
69,Saint-Philippe,RE,2020-10-07 06:50:59,-21.36,55.77,78.8,74,20,11.41
70,Jinchang,CN,2020-10-07 06:50:59,38.5,102.17,66.58,27,100,6.26
71,Beloslav,BG,2020-10-07 06:50:59,43.18,27.7,71.01,68,7,5.82
72,Saint Anthony,US,2020-10-07 06:51:00,45.02,-93.22,66.99,34,90,10.29
73,Kangaatsiaq,GL,2020-10-07 06:51:00,68.31,-53.46,21.81,94,0,11.86
74,Alihe,CN,2020-10-07 06:51:00,50.57,123.72,48.54,48,4,2.86
75,Horconcitos,PA,2020-10-07 06:51:01,8.47,-81.8,77.0,86,100,1.01
76,Mackay,AU,2020-10-07 06:51:01,-21.15,149.2,77.0,65,75,12.75
77,Kajaani,FI,2020-10-07 06:51:01,64.23,27.73,51.8,100,75,5.82
78,Saint-Francois,FR,2020-10-07 06:51:02,46.42,3.91,53.01,91,100,3.0
79,Khunti,IN,2020-10-07 06:50:55,23.08,85.28,84.2,70,75,6.4
80,Tocopilla,CL,2020-10-07 06:51:02,-22.09,-70.2,57.88,69,0,2.59
81,Yaan,NG,2020-10-07 06:51:03,7.38,8.57,70.81,93,99,6.24
82,Upernavik,GL,2020-10-07 06:51:03,72.79,-56.15,20.12,83,97,5.7
83,Grindavik,IS,2020-10-07 06:51:03,63.84,-22.43,39.2,86,75,2.24
84,Ilulissat,GL,2020-10-07 06:51:04,69.22,-51.1,21.2,53,98,12.75
85,Cape Town,ZA,2020-10-07 06:46:21,-33.93,18.42,62.01,93,75,12.75
86,Acarau,BR,2020-10-07 06:51:05,-2.89,-40.12,75.94,86,51,13.42
87,Susanville,US,2020-10-07 06:51:05,40.42,-120.65,51.8,25,1,4.7
88,Leningradskiy,RU,2020-10-07 06:51:05,69.38,178.42,24.01,89,100,4.76
89,Cherskiy,RU,2020-10-07 06:51:05,68.75,161.3,28.27,92,0,5.79
90,Ust-Tsilma,RU,2020-10-07 06:51:06,65.44,52.15,37.94,74,0,5.1
